"{'pred': 0.006655113689159168, 'nutriscore': 'c'}"
"{'pred': 0.006612764667966252, 'nutriscore': 'c'}"
"{'pred': 0.005396347450914022, 'nutriscore': 'c'}"
"{'pred': 0.0052817974399999995, 'nutriscore': 'a'}"
"{'pred': 0.005153214792384689, 'nutriscore': 'a'}"
"{'pred': 0.004904147776337258, 'nutriscore': 'c'}"
"{'pred': 0.00482398264461905, 'nutriscore': 'b'}"
"{'pred': 0.004764987817502384, 'nutriscore': 'a'}"
"{'pred': 0.004764358592763744, 'nutriscore': 'a'}"
"{'pred': 0.004601655668516565, 'nutriscore': 'a'}"
"{'pred': 0.004581462257419353, 'nutriscore': 'c'}"
"{'pred': 0.004561078976455346, 'nutriscore': 'a'}"
"{'pred': 0.004524145639985592, 'nutriscore': 'a'}"
"{'pred': 0.004487696725968051, 'nutriscore': 'a'}"
"{'pred': 0.0044794041424082096, 'nutriscore': 'c'}"
"{'pred': 0.00443119055466667, 'nutriscore': 'a'}"
"{'pred': 0.004402642330643258, 'nutriscore': 'a'}"
"{'pred': 0.004388296935039282, 'nutriscore': 'd'}"
"{'pred': 0.004372566083547144, 'nutriscore': 'a'}"
"{'pred': 0.0043302374336759005, 'nutriscore': 'c'}"
"{'pred': 0.0042631403274400095, 'nutriscore': 'e'}"
"{'pred': 0.004214924695931812, 'nutriscore': 'a'}"
"{'pred': 0.004002737232543846, 'nutriscore': 'd'}"
"{'pred': 0.0039891396318834475, 'nutriscore': 'b'}"
"{'pred': 0.003961405654134841, 'nutriscore': 'a'}"
"{'pred': 0.003942591084495767, 'nutriscore': 'c'}"
"{'pred': 0.003941513359417221, 'nutriscore': 'b'}"
"{'pred': 0.003926740672058006, 'nutriscore': 'b'}"
"{'pred': 0.003916486255804564, 'nutriscore': 'a'}"
"{'pred': 0.0038775643462670866, 'nutriscore': 'a'}"
"{'pred': 0.003873073889125, 'nutriscore': 'b'}"
"{'pred': 0.0038678168115523466, 'nutriscore': 'b'}"
"{'pred': 0.0038666157757492317, 'nutriscore': 'd'}"
"{'pred': 0.00386343896915579, 'nutriscore': 'c'}"
"{'pred': 0.0038512711398760563, 'nutriscore': 'a'}"
"{'pred': 0.0038361461784636266, 'nutriscore': 'd'}"
"{'pred': 0.0038237964647315453, 'nutriscore': 'c'}"
"{'pred': 0.0038231272369832463, 'nutriscore': 'a'}"
"{'pred': 0.0038127453390665537, 'nutriscore': 'a'}"
"{'pred': 0.0038117811897662515, 'nutriscore': 'b'}"
"{'pred': 0.003801262278864087, 'nutriscore': 'a'}"
"{'pred': 0.003799661530833833, 'nutriscore': 'd'}"
"{'pred': 0.0037781874866467642, 'nutriscore': 'c'}"
"{'pred': 0.0037748518598760563, 'nutriscore': 'a'}"
"{'pred': 0.0037715988595207472, 'nutriscore': 'c'}"
"{'pred': 0.003770370793720245, 'nutriscore': 'a'}"
"{'pred': 0.0037610234897409605, 'nutriscore': 'a'}"
"{'pred': 0.0037460035429430997, 'nutriscore': 'c'}"
"{'pred': 0.0037163007297693986, 'nutriscore': 'a'}"
"{'pred': 0.003708917875939886, 'nutriscore': 'a'}"
"{'pred': 0.0037080074393288868, 'nutriscore': 'b'}"
"{'pred': 0.0037047640344752297, 'nutriscore': 'a'}"
"{'pred': 0.003701506928567458, 'nutriscore': 'c'}"
"{'pred': 0.003700144439540321, 'nutriscore': 'b'}"
"{'pred': 0.003697615294230246, 'nutriscore': 'c'}"
"{'pred': 0.0036903896868284154, 'nutriscore': 'a'}"
"{'pred': 0.0036763113316452384, 'nutriscore': 'a'}"
"{'pred': 0.003652159711632224, 'nutriscore': 'c'}"
"{'pred': 0.0036491933843745914, 'nutriscore': 'd'}"
"{'pred': 0.003648335609308533, 'nutriscore': 'b'}"
"{'pred': 0.003638165089704441, 'nutriscore': 'd'}"
"{'pred': 0.0036375488808500535, 'nutriscore': 'd'}"
"{'pred': 0.003635577872887207, 'nutriscore': 'd'}"
"{'pred': 0.0036326898952158274, 'nutriscore': 'a'}"
"{'pred': 0.0036221370366212357, 'nutriscore': 'a'}"
"{'pred': 0.003604714366777129, 'nutriscore': 'd'}"
"{'pred': 0.003602263418526961, 'nutriscore': 'd'}"
"{'pred': 0.003599030564089647, 'nutriscore': 'c'}"
"{'pred': 0.0035968595116578385, 'nutriscore': 'c'}"
"{'pred': 0.003595628901802428, 'nutriscore': 'c'}"
"{'pred': 0.0035945160040422534, 'nutriscore': 'a'}"
"{'pred': 0.003584056175461396, 'nutriscore': 'a'}"
"{'pred': 0.0035751690006713046, 'nutriscore': 'e'}"
"{'pred': 0.003575027600574416, 'nutriscore': 'c'}"
"{'pred': 0.003562298631279607, 'nutriscore': 'b'}"
"{'pred': 0.0034735409410509605, 'nutriscore': 'd'}"
"{'pred': 0.003425843700324671, 'nutriscore': 'd'}"
"{'pred': 0.003392925714712042, 'nutriscore': 'd'}"
"{'pred': 0.003345257643995671, 'nutriscore': 'c'}"
"{'pred': 0.0033181021151322573, 'nutriscore': 'd'}"
"{'pred': 0.0032799824914160353, 'nutriscore': 'e'}"
"{'pred': 0.0032352243338497973, 'nutriscore': 'c'}"
"{'pred': 0.003212167934324975, 'nutriscore': 'd'}"
"{'pred': 0.003193005887835264, 'nutriscore': 'c'}"
"{'pred': 0.0031344960924330817, 'nutriscore': 'd'}"
"{'pred': 0.003121702556143431, 'nutriscore': 'c'}"
"{'pred': 0.002909877629601069, 'nutriscore': 'e'}"
"{'pred': 0.0028589255679386705, 'nutriscore': 'e'}"
"{'pred': 0.0028509653748063288, 'nutriscore': 'd'}"
"{'pred': 0.002611898886751378, 'nutriscore': 'd'}"
"{'pred': 0.0024766410133334493, 'nutriscore': 'e'}"
"{'pred': 0.0023592299904741966, 'nutriscore': 'e'}"
"{'pred': 0.002221431986146414, 'nutriscore': 'e'}"
"{'pred': 0.00194313963, 'nutriscore': 'e'}"
"{'pred': 0.0017978522524999788, 'nutriscore': 'd'}"
"{'pred': 0.0011576388490698794, 'nutriscore': 'e'}"
"{'pred': -0.00018160807233396953, 'nutriscore': 'e'}"
"{'pred': -0.008974661389638428, 'nutriscore': 'e'}"
"{'pred': -0.010511271045748652, 'nutriscore': 'e'}"
"{'pred': -0.010511271045748652, 'nutriscore': 'e'}"
